pNLP,seed,rawObjective,rawGapPercent,feasibleRaw,topologyMatch,maxEqRaw,maxIneqRaw,polishedObjective,polishedGapPercent,feasiblePolished,maxEqPolished,maxIneqPolished,iterations,runtimeCORAL,globalModelEvaluations,localObjectiveEvaluations,localConstraintEvaluations,totalModelEvaluations,totalOracleCalls,localNLPCalls,localNLPIterations,localNLPRuntime,topologyRepairChanges,polishRuntime,polishObjectiveCalls,topologyLabel
0,12001,34.5995753161717,-49.1255616398252,0,0,0.652272124970844,0.618732444390853,82.3725526027982,21.1187510733005,1,2.22044604925031e-16,0,300,14.5072524,41675,0,0,41675,41675,0,0,0,17195,0.1794172,234,P1-P3-P4-P6-P8
0,12002,96.7245140095461,42.221552748266,0,0,0.286688909113775,0.286680519177567,82.3725526027982,21.1187510733005,1,4.44089209850063e-16,0,300,19.9816797,41702,0,0,41702,41702,0,0,0,16715,0.0981444,234,P1-P3-P4-P6-P8
0,12003,59.0824264590185,-13.1265272595989,0,1,0.541202547833885,0,68.0097440510651,1.25371929391751e-13,1,4.44089209850063e-16,0,300,8.5524184,40973,0,0,40973,40973,0,0,0,16111,0.0224318,234,P2-P4-P6-P8
0,12004,94.0818445486525,38.3358309333017,0,0,0.542174428130876,0.48168682172491,77.1043100995276,13.3724456331346,1,2.22044604925031e-16,5.55111512312578e-17,300,14.4483942,41135,0,0,41135,41135,0,0,0,15824,0.0175682,209,P1-P4-P6-P8
0,12005,64.0871896193049,-5.76763592701494,0,0,0.517577936510769,0.520813255155842,73.2779865543376,7.74630544016887,1,2.22044604925031e-16,5.55111512312578e-17,300,13.2423711,40504,0,0,40504,40504,0,0,0,16575,0.0650869,234,P2-P3-P4-P6-P8
0,12006,94.8740957701545,39.5007393336438,0,0,0.405424964433361,0,73.2779865543376,7.74630544016892,1,2.77555756156289e-16,5.55111512312578e-17,300,10.7916095,41384,0,0,41384,41384,0,0,0,16585,0.0189561,260,P2-P3-P4-P6-P8
0,12007,48.9733677051289,-27.9906601789924,0,0,0.465993787504434,0.362043903471058,77.1043100995258,13.3724456331319,1,4.44089209850063e-16,0,300,12.9715042,41303,0,0,41303,41303,0,0,0,16483,0.0783746,286,P1-P4-P6-P8
0,12008,93.7281564946818,37.815775963377,0,0,0.569470131787326,0.13147351999238,77.1043100995258,13.3724456331319,1,4.44089209850063e-16,0,300,21.3886087,41718,0,0,41718,41718,0,0,0,16470,0.057514,234,P1-P4-P6-P8
0,12009,31.9995746507968,-52.9485442162964,0,0,0.75335348759374,0,77.1043100995262,13.3724456331325,1,2.22044604925031e-16,5.55111512312578e-17,300,14.7918343,41397,0,0,41397,41397,0,0,0,16564,0.0249887,235,P1-P4-P6-P8
0,12010,112.477610024181,65.3845512780155,0,0,0.247742523963334,0.246561328990452,94.4895099000724,38.9352529089436,1,3.33066907387547e-16,0,300,13.7517343,40504,0,0,40504,40504,0,0,0,16002,0.0664297,286,P2-P3-P4-P7-P8
0.2,12001,68.0093440997745,-0.00058807939380906,1,1,9.99880241214779e-06,1.02140518265514e-14,68.0097440510651,1.88057894087627e-13,1,2.33146835171283e-15,5.55111512312578e-17,300,356.4081211,48420,1659557,1659557,1707977,3367534,6801,57997,317.1479535,16229,0.0127202,105,P2-P4-P6-P8
0.2,12002,68.0097440450615,-8.82741665315165e-09,1,1,1.89592674892936e-10,0,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,96.3023345,12940,476279,476279,489219,965498,1859,16707,86.1322692,4174,0.0263426,79,P2-P4-P6-P8
0.2,12003,68.009744050987,-1.14694420071887e-10,1,1,2.61679566904149e-12,4.44089209850063e-16,68.0097440510671,3.02982162696732e-12,1,4.44089209850063e-16,0,81,100.8494807,12878,466347,466347,479225,945572,1801,16348,89.9090881999998,4166,0.0120189,140,P2-P4-P6-P8
0.2,12004,68.0097440507512,-4.6134780484008e-10,1,1,1.00291996929514e-11,7.66053886991358e-15,68.0097440510706,8.17007073202913e-12,1,2.22044604925031e-16,0,82,86.2325179,12971,464203,464203,477174,941377,1799,16283,77.4264946000001,4245,0.0195259,137,P2-P4-P6-P8
0.2,12005,68.0097440507644,-4.4204052771375e-10,1,1,9.51205780808095e-12,0,68.0097440510651,1.67162572522335e-13,1,2.22044604925031e-16,0,83,90.6352491,13188,472400,472400,485588,957988,1854,16588,81.8973293,4345,0.0277508,132,P2-P4-P6-P8
