Configuration,Seed,OracleBudget,BudgetOracleCalls,BudgetHit,RawObjective,SignedGapPercent,AbsGapPercent,Feasible,TopologyMatch,Iterations,InternalOracleCalls,LocalNLPCalls,TopologyRepairs,Runtime
CRO_like_NLP,12001,1500000,1270058,0,68.0097440509856,-1.16742161585286e-10,1.16742161585286e-10,1,1,82,1270058,2745,1730,126.076458
CRO_like_NLP,12002,1500000,1298901,0,68.0097440509069,-2.32481347735438e-10,2.32481347735438e-10,1,1,81,1298901,2745,1763,150.4107637
CRO_like_NLP,12003,1500000,1292860,0,68.0097440509318,-1.95789163066785e-10,1.95789163066785e-10,1,1,81,1292860,2721,1680,134.9188441
CRO_like_NLP,12004,1500000,1283354,0,68.009744051064,-1.50446315270102e-12,1.50446315270102e-12,1,1,81,1283354,2708,1638,139.6822824
CRO_like_NLP,12005,1500000,1286417,0,68.0097440510003,-9.5136399086774e-11,9.5136399086774e-11,1,1,81,1286417,2707,1685,142.7720069
CRO_like_NLP,12006,1500000,1297505,0,68.0097440510477,-2.54713969880908e-11,2.54713969880908e-11,1,1,81,1297505,2757,1648,142.8438949
CRO_like_NLP,12007,1500000,1280369,0,68.0097440509621,-1.51282128132713e-10,1.51282128132713e-10,1,1,81,1280369,2717,1683,141.1201474
CRO_like_NLP,12008,1500000,1325539,0,68.0097439796764,-1.0496812847564e-07,1.0496812847564e-07,1,1,82,1325539,2818,1737,335.5157561
CRO_like_NLP,12009,1500000,1500000,1,68.0096526613444,-0.000134377392321778,0.000134377392321778,1,1,176,1706392,5887,3280,199.5461747
CRO_like_NLP,12010,1500000,1257276,0,68.0097440510037,-9.01842078757998e-11,9.01842078757998e-11,1,1,81,1257276,2658,1708,126.4134057
CORAL_full,12001,1500000,1454798,0,68.0097440509957,-1.01927378595494e-10,1.01927378595494e-10,1,1,82,1454798,2861,4229,161.0777102
CORAL_full,12002,1500000,1463687,0,68.0097440509274,-2.02392084681417e-10,2.02392084681417e-10,1,1,81,1463687,2815,4221,169.2447385
CORAL_full,12003,1500000,1500000,1,68.0097426844737,-2.0094050967713e-06,2.0094050967713e-06,1,1,134,1625634,4552,6581,238.9800899
CORAL_full,12004,1500000,1500000,1,68.0097410360353,-4.433231912071e-06,4.433231912071e-06,1,1,165,1703333,5574,7795,245.0505211
CORAL_full,12005,1500000,1400860,0,68.0097439866987,-9.4642747114794e-08,9.4642747114794e-08,1,1,81,1400860,2735,4206,223.1768533
CORAL_full,12006,1500000,1406642,0,68.0097440505734,-7.22790068265012e-10,7.22790068265012e-10,1,1,81,1406642,2745,4198,223.3887998
CORAL_full,12007,1500000,1449684,0,68.0097440500789,-1.4499890493803e-09,1.4499890493803e-09,1,1,81,1449684,2792,4182,209.2905913
CORAL_full,12008,1500000,1500000,1,68.0097430140535,-1.52479839606707e-06,1.52479839606707e-06,1,1,147,1656637,4955,7043,258.1893913
CORAL_full,12009,1500000,1500000,1,68.0096530089394,-0.000133866296538345,0.000133866296538345,1,1,164,1702109,5568,7679,289.3883105
CORAL_full,12010,1500000,1450249,0,68.009744050969,-1.41127001851981e-10,1.41127001851981e-10,1,1,81,1450249,2803,4235,174.7354707
