Configuration,Seed,LocalRefinement,AdaptiveOperators,RawObjective,RawGapPercent,Feasible,TopologyMatch,Iterations,OracleCalls,GlobalModelEvaluations,LocalObjectiveEvaluations,LocalConstraintEvaluations,LocalNLPCalls,LocalNLPIterations,TopologyRepairs,Runtime
CRO_like,12001,0,0,65.8587703003982,-3.16274348724466,0,0,300,33558,33558,0,0,0,0,6449,12.1127528
CRO_like,12002,0,0,79.2147148078373,16.4755373117698,0,0,300,33545,33545,0,0,0,0,6637,10.3486156
CRO_like,12003,0,0,96.1206800718399,41.3336888897389,0,0,300,33560,33560,0,0,0,0,6520,15.7045889
CRO_like,12004,0,0,52.1612064681862,-23.3033336678623,0,0,300,33581,33581,0,0,0,0,6226,15.4862846
CRO_like,12005,0,0,110.147978744418,61.9591137730406,0,0,300,33585,33585,0,0,0,0,6835,11.4898075
CRO_like,12006,0,0,37.6991626279633,-44.567998080309,0,0,300,33566,33566,0,0,0,0,5975,19.3837077
CRO_like,12007,0,0,70.8965593581267,4.24470838310187,0,0,300,33565,33565,0,0,0,0,6111,12.1115474
CRO_like,12008,0,0,105.60436406862,55.2782848136109,0,0,300,33603,33603,0,0,0,0,6141,21.3964867
CRO_like,12009,0,0,62.8815761806979,-7.54034284633779,0,0,300,33600,33600,0,0,0,0,6362,13.0027683
CRO_like,12010,0,0,80.6915024196392,18.646972644173,0,1,300,33554,33554,0,0,0,0,6522,18.1877353
CRO_like_NLP,12001,1,0,68.0097440509856,-1.16742161585286e-10,1,1,82,1270058,11960,629049,629049,2745,21811,1730,117.2558656
CRO_like_NLP,12002,1,0,68.0097440509069,-2.32481347735438e-10,1,1,81,1298901,11829,643536,643536,2745,22363,1763,113.3151383
CRO_like_NLP,12003,1,0,68.0097440509318,-1.95789163066785e-10,1,1,81,1292860,11854,640503,640503,2721,22269,1680,139.6308743
CRO_like_NLP,12004,1,0,68.009744051064,-1.50446315270102e-12,1,1,81,1283354,11826,635764,635764,2708,22092,1638,159.7870083
CRO_like_NLP,12005,1,0,68.0097440510003,-9.5136399086774e-11,1,1,81,1286417,11823,637297,637297,2707,22180,1685,162.4989441
CRO_like_NLP,12006,1,0,68.0097440510477,-2.54713969880908e-11,1,1,81,1297505,11867,642819,642819,2757,22370,1648,90.0080008
CRO_like_NLP,12007,1,0,68.0097440509621,-1.51282128132713e-10,1,1,81,1280369,11807,634281,634281,2717,22054,1683,90.1057828
CRO_like_NLP,12008,1,0,68.0097439796764,-1.0496812847564e-07,1,1,82,1325539,12031,656754,656754,2818,22877,1737,84.2666491
CRO_like_NLP,12009,1,0,68.0093412617179,-0.000592252408445933,1,1,300,4409200,43574,2182813,2182813,10019,75353,5540,4887.4866064
CRO_like_NLP,12010,1,0,68.0097440510037,-9.01842078757998e-11,1,1,81,1257276,11768,622754,622754,2658,21662,1708,170.2923198
CORAL_noNLP,12001,0,1,65.6244641394653,-3.507262003234,0,0,300,41848,41848,0,0,0,0,16936,20.7949997
CORAL_noNLP,12002,0,1,99.6614447783751,46.5399497806438,0,0,300,41215,41215,0,0,0,0,16765,20.5676726
CORAL_noNLP,12003,0,1,103.300402436153,51.8905913814206,0,0,300,41297,41297,0,0,0,0,16273,20.3216498
CORAL_noNLP,12004,0,1,87.4678341091566,28.610738548702,0,0,300,41137,41137,0,0,0,0,16592,19.8437136
CORAL_noNLP,12005,0,1,103.9871511223,52.9003712236021,0,0,300,40040,40040,0,0,0,0,16067,20.5889557
CORAL_noNLP,12006,0,1,105.092499538958,54.52565070683,0,0,300,40892,40892,0,0,0,0,16528,20.2522929
CORAL_noNLP,12007,0,1,59.3815860676636,-12.6866496908486,0,0,300,41617,41617,0,0,0,0,16831,19.791016
CORAL_noNLP,12008,0,1,97.4608115807763,43.304188158094,0,0,300,41597,41597,0,0,0,0,16429,19.9265617
CORAL_noNLP,12009,0,1,107.110450848719,57.4928009849519,0,0,300,40968,40968,0,0,0,0,16273,20.1366566
CORAL_noNLP,12010,0,1,78.5436318509879,15.4887920060595,0,0,300,41275,41275,0,0,0,0,16738,20.346027
CORAL_full,12001,1,1,68.0097440509957,-1.01927378595494e-10,1,1,82,1454798,14110,720344,720344,2861,25235,4229,203.8698889
CORAL_full,12002,1,1,68.0097440509274,-2.02392084681417e-10,1,1,81,1463687,13937,724875,724875,2815,25440,4221,185.3622342
CORAL_full,12003,1,1,68.009345219508,-0.000586432962764081,1,1,300,5049288,52016,2498636,2498636,10200,87283,16360,15599.0000779
CORAL_full,12004,1,1,68.0093374094468,-0.000597916701245808,1,1,300,4931074,51860,2439607,2439607,10062,85176,16191,564.8942201
CORAL_full,12005,1,1,68.0097439866987,-9.4642747114794e-08,1,1,81,1400860,13894,693483,693483,2735,24326,4206,86.4482596
CORAL_full,12006,1,1,68.0097440505734,-7.22790068265012e-10,1,1,81,1406642,13890,696376,696376,2745,24410,4198,144.6888457
CORAL_full,12007,1,1,68.0097440500789,-1.4499890493803e-09,1,1,81,1449684,13974,717855,717855,2792,25158,4182,177.7381449
CORAL_full,12008,1,1,68.0093442374437,-0.000587876968020225,1,1,300,5012051,51945,2480053,2480053,10199,86636,16234,473.7231769
CORAL_full,12009,1,1,68.0093440885248,-0.000588095935109785,1,1,235,3970557,40763,1964897,1964897,8022,68747,12555,514.1622728
CORAL_full,12010,1,1,68.009744050969,-1.41127001851981e-10,1,1,81,1450249,13975,718137,718137,2803,25189,4235,174.0359407
